id_servico,id_cliente,tipo_servico,subtipo,descricao_detalhada,unidade_medida,quantidade,valor_unitario_aplicado,valor_total,data_execucao,status
20,289,Forro Drywall,,"Serviço de forro drywall solicitado para corredor, imóvel residencial.",metro quadrado,55.65,100.26,5579.47,2026-08-27,concluído
21,94,Moldura de Gesso,10cm,Execução de moldura de gesso em escritório.,metro linear,26.06,15.0,390.9,2025-12-03,concluído
22,259,Divisória Drywall,,Execução de divisória drywall em sala comercial.,metro quadrado,59.43,130.0,7725.9,2024-06-30,concluído
23,309,Gesso Liso,Parede Pintada,"Serviço de gesso liso solicitado para sala de estar, imóvel residencial.",metro quadrado,0.0,,,2025-11-25,concluído
24,196,Moldura de Gesso,10cm,Execução de moldura de gesso em escritório.,metro linear,15.97,15.89,253.76,2025-08-12,concluído
25,210,Moldura de Gesso,20cm,Execução de moldura de gesso em galpão industrial.,m linear,0.0,17.04,,2025-06-19,concluído
26,130,Gesso Liso,Parede Pintada,"Gesso Liso - recepção da loja, conforme orçamento aprovado.",metro quadrado,25.17,22.0,553.74,2025-09-18,concluído
27,285,Forro Drywall,,"Serviço de forro drywall solicitado para quarto principal, imóvel residencial.",metro quadrado,43.18,95.0,4102.1,2026-03-03,concluído
28,52,Gesso 3D,,Execução de gesso 3d em recepção da loja.,metro quadrado,21.37,180.0,3846.6,2025-07-17,concluído
29,242,Moldura de Gesso,15cm,"Moldura de Gesso - recepção da loja, conforme orçamento aprovado.",metro linear,37.26,17.0,633.42,2024-08-15,concluído
30,30,Boiserie,,Execução de boiserie em sala comercial.,metro linear,37.99,150.0,5698.5,2025-03-25,concluído
31,119,Gesso Liso,Parede Rebocada,"Serviço de gesso liso solicitado para recepção da loja, imóvel residencial.",metro quadrado,53.83,20.0,1076.6,2025-11-01,concluído
32,8,Divisória Drywall,,"Serviço de divisória drywall solicitado para galpão industrial, imóvel industrial.",metro quadrado,63.69,130.0,8279.7,2024-10-18,concluído
33,233,Boiserie,,"Boiserie - galpão industrial, conforme orçamento aprovado.",metro linear,37.4,150.0,5610.0,2025-02-20,concluído
34,295,Moldura de Gesso,20cm,"Moldura de Gesso - corredor, conforme orçamento aprovado.",metro linear,12.26,20.0,245.2,2025-05-10,concluído
35,133,Forro Drywall,,Execução de forro drywall em galpão industrial.,metro quadrado,9.47,,,2025-11-24,concluído
36,148,Divisória Drywall,,"Divisória Drywall - área externa, conforme orçamento aprovado.",metro quadrado,11.53,112.97,1302.54,2026-08-11,concluído
37,256,Gesso 3D,,Execução de gesso 3d em área externa.,metro quadrado,63.71,180.0,11467.8,2024-09-28,concluído
38,340,Sanca,,"Serviço de sanca solicitado para área externa, imóvel industrial.",metro linear,0.0,103.5,,2026-05-18,concluído
39,262,Moldura de Gesso,10cm,"Serviço de moldura de gesso solicitado para sala de estar, imóvel residencial.",metro linear,13.37,15.0,200.55,2024-02-25,concluído
40,235,Moldura de Gesso,10cm,"Moldura de Gesso - quarto principal, conforme orçamento aprovado.",metro linear,39.13,15.0,586.95,2025-12-06,concluído
41,135,Divisória Drywall,,"Serviço de divisória drywall solicitado para galpão industrial, imóvel residencial.",metro quadrado,23.21,130.0,3017.3,2025-01-09,concluído
42,68,Divisória Drywall,,"Divisória Drywall - cozinha, conforme orçamento aprovado.",metro quadrado,83.32,133.93,11159.05,2026-04-03,concluído
43,91,Moldura de Gesso,15cm,Execução de moldura de gesso em sala comercial.,metro linear,18.6,17.13,318.62,2025-06-30,concluído
44,31,Gesso Liso,Parede Pintada,"Serviço de gesso liso solicitado para fachada comercial, imóvel residencial.",metro quadrado,21.45,19.23,412.48,2026-02-01,concluído
45,311,Moldura de Gesso,20cm,"Moldura de Gesso - sala comercial, conforme orçamento aprovado.",metro linear,10.36,20.0,207.2,2024-06-27,CONCLUÍDO
46,315,Sanca,,Execução de sanca em área externa.,metro linear,13.6,95.0,1292.0,2024-06-20,concluído
47,161,Forro Drywall,,"Forro Drywall - galpão industrial, conforme orçamento aprovado.",metro quadrado,29.67,95.0,2818.65,2025-10-22,concluído
48,95,Forro Drywall,,Execução de forro drywall em cozinha.,metro quadrado,73.19,95.0,6953.05,2024-09-14,Concluido
49,281,Moldura de Gesso,20cm,Execução de moldura de gesso em recepção da loja.,metro linear,4.99,20.0,99.8,2024-03-26,concluído
50,65,Forro Drywall,,"Forro Drywall - corredor, conforme orçamento aprovado.",metro quadrado,14.63,95.0,1389.85,2025-11-10,concluído
51,70,Gesso Liso,Parede Rebocada,"Gesso Liso - recepção da loja, conforme orçamento aprovado.",metro quadrado,82.53,20.0,1650.6,2025-09-03,concluído
52,247,gesso 3d,,Execução de gesso 3d em sala comercial.,metro quadrado,47.71,180.0,8587.8,2025-01-09,concluído
53,5,Forro Drywall,,Execução de forro drywall em sala de estar.,metro quadrado,59.71,87.87,5246.72,2026-02-23,concluído
54,203,Gesso Liso,Parede Rebocada,"Gesso Liso - escritório, conforme orçamento aprovado.",metro quadrado,24.24,20.0,484.8,2026-04-28,concluído
55,146,Gesso Liso,Parede Pintada,"Serviço de gesso liso solicitado para corredor, imóvel residencial.",metro quadrado,56.53,22.0,1243.66,2024-07-11,Concluido
56,165,Gesso Liso,Parede Rebocada,Execução de gesso liso em corredor.,metro quadrado,5.57,20.0,111.4,2024-07-09,CONCLUÍDO
57,112,Sanca,,"Serviço de sanca solicitado para cozinha, imóvel residencial.",m linear,15.65,104.45,1634.64,2025-04-19,concluído
58,99,Forro Drywall,,Execução de forro drywall em corredor.,metro quadrado,76.55,95.0,7272.25,2024-01-13,concluído
59,49,Moldura de Gesso,7cm,"Moldura de Gesso - sala de estar, conforme orçamento aprovado.",metro linear,22.28,12.0,267.36,2025-11-28,CONCLUÍDO
60,327,Divisória Drywall,,"Serviço de divisória drywall solicitado para galpão industrial, imóvel residencial.",metro quadrado,28.2,130.0,3666.0,2025-11-13,concluído
61,125,Forro Drywall,,"Forro Drywall - corredor, conforme orçamento aprovado.",metro quadrado,4.72,92.04,434.43,2025-09-02,concluído
62,321,Boiserie,,"Serviço de boiserie solicitado para sala comercial, imóvel industrial.",metro linear,5.22,150.0,783.0,2025-07-03,concluído
63,99,Forro Drywall,,Execução de forro drywall em corredor.,metro quadrado,5.73,86.7,496.79,2024-02-10,concluído
64,240,Forro Drywall,,Execução de forro drywall em sala comercial.,metro quadrado,26.3,93.92,2470.1,2024-03-11,concluído
65,95,Gesso Liso,Parede Rebocada,Execução de gesso liso em sala comercial.,metro quadrado,75.52,20.0,1510.4,2025-09-27,concluído
66,283,Gesso Liso,Parede Rebocada,Execução de gesso liso em cozinha.,metro quadrado,16.48,20.0,329.6,2024-11-25,concluído
67,51,Forro Drywall,,"Forro Drywall - galpão industrial, conforme orçamento aprovado.",metro quadrado,6.58,95.0,625.1,2025-05-16,concluído
68,107,Gesso 3D,,"Gesso 3D - recepção da loja, conforme orçamento aprovado.",metro quadrado,57.12,174.06,9942.31,2025-10-16,concluído
69,271,Gesso Liso,Parede de Tijolo,Execução de gesso liso em escritório.,metro quadrado,7.29,30.0,218.7,2026-08-25,concluído
70,292,Gesso Liso,Parede Pintada,Execução de gesso liso em recepção da loja.,metro quadrado,54.65,20.98,1146.56,2024-04-18,concluído
71,259,Gesso Liso,Parede Rebocada,"Serviço de gesso liso solicitado para galpão industrial, imóvel industrial.",metro quadrado,31.34,,,2025-03-29,Concluido
72,166,Forro Drywall,,"Serviço de forro drywall solicitado para corredor, imóvel residencial.",metro quadrado,53.28,95.0,5061.6,23/02/2026,concluído
73,146,Sanca,,"Sanca - galpão industrial, conforme orçamento aprovado.",metro linear,25.04,,,2024-11-05,concluído
74,262,Gesso 3D,,"Serviço de gesso 3d solicitado para área externa, imóvel residencial.",metro quadrado,49.06,180.0,8830.8,2024-02-08,concluído
75,205,Sanca,,Execução de sanca em área externa.,metro linear,24.06,95.0,2285.7,2024-11-28,concluído
76,296,Forro Drywall,,Execução de forro drywall em quarto principal.,metro quadrado,34.91,,,2024-12-08,concluído
77,6,Moldura de Gesso,15cm,Execução de moldura de gesso em sala comercial.,metro linear,26.45,17.0,449.65,2025-06-20,concluído
78,202,Moldura de Gesso,7cm,"Serviço de moldura de gesso solicitado para cozinha, imóvel residencial.",metro linear,38.93,12.0,467.16,2024-04-02,concluído
79,205,Sanca,,"Sanca - corredor, conforme orçamento aprovado.",metro linear,12.71,95.0,1207.45,2025-12-15,concluído
80,269,Gesso Liso,Parede de Tijolo,"Serviço de gesso liso solicitado para galpão industrial, imóvel residencial.",metro quadrado,23.95,27.93,668.92,2026-08-04,concluído
81,157,Gesso Liso,Parede Pintada,Execução de gesso liso em escritório.,m2,17.71,23.12,409.46,2025-09-30,concluído
82,58,moldura de gesso,15cm,"Serviço de moldura de gesso solicitado para quarto principal, imóvel residencial.",metro linear,30.36,17.0,516.12,2024-05-31,Concluido
83,276,Divisória Drywall,,"Divisória Drywall - sala de estar, conforme orçamento aprovado.",metro quadrado,21.16,128.34,2715.67,2025-09-29,concluído
84,31,Divisória Drywall,,"Divisória Drywall - fachada comercial, conforme orçamento aprovado.",metro quadrado,27.01,130.0,3511.3,2024-02-24,concluído
85,150,Sanca,,"Sanca - corredor, conforme orçamento aprovado.",metro linear,35.09,95.0,3333.55,2025-01-24,concluído
86,235,Divisória Drywall,,"Divisória Drywall - cozinha, conforme orçamento aprovado.",metro quadrado,49.42,130.0,6424.6,2026-08-02,concluído
87,121,Gesso Liso,Parede de Tijolo,"Serviço de gesso liso solicitado para sala de estar, imóvel industrial.",metro quadrado,84.68,30.0,2540.4,2024-03-04,concluído
88,202,Forro Drywall,,"Forro Drywall - escritório, conforme orçamento aprovado.",metro quadrado,57.21,95.0,5434.95,2026-09-10,concluído
89,310,Boiserie,,"Boiserie - cozinha, conforme orçamento aprovado.",metro linear,15.18,150.0,2277.0,2024-05-21,concluído
90,221,Gesso 3D,,Execução de gesso 3d em sala comercial.,metro quadrado,84.65,180.0,15237.0,2026-08-13,concluído
91,75,Moldura de Gesso,15cm,Execução de moldura de gesso em fachada comercial.,metro linear,29.9,16.21,484.68,2025-02-25,concluído
92,314,Divisória Drywall,,"Divisória Drywall - corredor, conforme orçamento aprovado.",metro quadrado,53.97,130.0,7016.1,2025-09-02,concluído
93,95,Gesso Liso,Parede Pintada,Execução de gesso liso em fachada comercial.,metro quadrado,73.02,22.0,1606.44,2024-07-16,concluído
94,105,Boiserie,,Execução de boiserie em escritório.,metro linear,5.45,,,2026-06-06,concluído
95,161,Moldura de Gesso,15cm,"Serviço de moldura de gesso solicitado para sala comercial, imóvel residencial.",metro linear,17.58,17.0,298.86,2025-07-03,concluído
96,126,Sanca,,"Serviço de sanca solicitado para corredor, imóvel residencial.",metro linear,22.19,94.0,2085.86,2025-06-12,concluído
97,86,Divisória Drywall,,Execução de divisória drywall em quarto principal.,metro quadrado,38.22,130.0,4968.6,2025-06-13,Concluido
98,280,Gesso Liso,Parede de Tijolo,"Serviço de gesso liso solicitado para corredor, imóvel residencial.",metro quadrado,14.96,30.0,448.8,2024-07-02,concluído
99,84,Gesso 3D,,Execução de gesso 3d em sala comercial.,metro quadrado,62.19,180.0,11194.2,2025-04-05,concluído
100,88,Forro Drywall,,"Serviço de forro drywall solicitado para sala de estar, imóvel residencial.",metro quadrado,77.89,95.0,7399.55,2024-06-02,concluído
101,148,boiserie,,"Boiserie - corredor, conforme orçamento aprovado.",metro linear,26.18,150.0,3927.0,2024-07-26,concluído
102,253,gesso liso,Parede de Tijolo,"Gesso Liso - sala comercial, conforme orçamento aprovado.",metro quadrado,23.27,30.0,698.1,2025-02-23,concluído
103,26,Moldura de Gesso,15cm,Execução de moldura de gesso em fachada comercial.,metro linear,9.84,17.0,167.28,2024-05-28,Concluido
104,92,Forro Drywall,,"Serviço de forro drywall solicitado para corredor, imóvel residencial.",metro quadrado,17.07,95.0,1621.65,2025-12-17,concluído
105,154,Sanca,,"Serviço de sanca solicitado para fachada comercial, imóvel residencial.",metro linear,14.94,98.76,1475.47,2026-05-13,concluído
106,314,Gesso Liso,Parede Pintada,"Serviço de gesso liso solicitado para fachada comercial, imóvel residencial.",metro quadrado,8.71,,,2025-06-25,CONCLUÍDO
107,320,Gesso Liso,Parede de Tijolo,"Serviço de gesso liso solicitado para área externa, imóvel residencial.",metro quadrado,32.66,30.0,979.8,2025-06-16,concluído
108,13,Sanca,,Execução de sanca em sala comercial.,metro linear,20.2,85.67,1730.53,22/09/2025,CONCLUÍDO
109,145,Divisória Drywall,,"Divisória Drywall - galpão industrial, conforme orçamento aprovado.",m2,24.61,130.0,3199.3,2025-07-17,concluído
110,90,Sanca,,"Serviço de sanca solicitado para corredor, imóvel residencial.",metro linear,10.18,,,2025-05-05,Concluido
111,172,Gesso Liso,Parede Rebocada,Execução de gesso liso em galpão industrial.,metro quadrado,41.46,,,2024-02-27,concluído
112,182,Gesso Liso,Parede Pintada,Execução de gesso liso em recepção da loja.,metro quadrado,9.36,20.57,192.54,2025-01-19,concluído
113,162,Moldura de Gesso,7cm,Execução de moldura de gesso em escritório.,metro linear,29.26,12.0,351.12,2026-06-17,concluído
114,104,Moldura de Gesso,10cm,"Moldura de Gesso - corredor, conforme orçamento aprovado.",metro linear,36.79,15.0,551.85,2025-05-09,Concluido
115,51,Forro Drywall,,"Serviço de forro drywall solicitado para sala comercial, imóvel residencial.",m2,70.59,95.0,6706.05,2024-05-15,concluído
116,305,Gesso Liso,Parede Pintada,Execução de gesso liso em fachada comercial.,metro quadrado,74.62,19.27,1437.93,2026-02-23,concluído
117,142,divisória drywall,,Execução de divisória drywall em área externa.,metro quadrado,47.11,130.0,6124.3,2024-10-06,concluído
118,164,Forro Drywall,,Execução de forro drywall em corredor.,metro quadrado,25.96,94.38,2450.1,2024-06-24,concluído
119,55,Gesso Liso,Parede Pintada,"Serviço de gesso liso solicitado para corredor, imóvel residencial.",metro quadrado,35.07,22.0,771.54,2025-12-22,concluído
120,274,Divisória Drywall,,"Divisória Drywall - corredor, conforme orçamento aprovado.",metro quadrado,10.36,128.95,1335.92,2024-04-05,concluído
121,119,Forro Drywall,,Execução de forro drywall em galpão industrial.,metro quadrado,80.74,86.88,7014.69,2025-01-07,concluído
122,246,Sanca,,"Sanca - quarto principal, conforme orçamento aprovado.",metro linear,20.07,95.11,1908.86,2024-05-10,concluído
123,237,Forro Drywall,,"Forro Drywall - escritório, conforme orçamento aprovado.",metro quadrado,36.47,95.0,3464.65,2025-07-15,concluído
124,291,Boiserie,,"Boiserie - corredor, conforme orçamento aprovado.",metro linear,32.13,150.0,4819.5,2025-11-09,concluído
125,228,Gesso Liso,Parede Rebocada,"Gesso Liso - galpão industrial, conforme orçamento aprovado.",metro quadrado,18.27,20.0,365.4,2024-04-21,concluído
126,72,Divisória Drywall,,"Divisória Drywall - fachada comercial, conforme orçamento aprovado.",metro quadrado,75.87,130.0,9863.1,2024-01-01,concluído
127,163,Divisória Drywall,,"Divisória Drywall - galpão industrial, conforme orçamento aprovado.",metro quadrado,28.28,130.0,3676.4,29/07/2026,Concluido
128,207,Boiserie,,"Serviço de boiserie solicitado para galpão industrial, imóvel residencial.",metro linear,34.36,150.0,5154.0,2026-07-11,concluído
129,303,Divisória Drywall,,"Serviço de divisória drywall solicitado para cozinha, imóvel residencial.",metro quadrado,35.94,130.0,4672.2,2025-01-25,concluído
130,214,Forro Drywall,,Execução de forro drywall em corredor.,metro quadrado,16.5,95.0,1567.5,2024-05-17,concluído
131,213,Gesso Liso,Parede Pintada,"Serviço de gesso liso solicitado para sala comercial, imóvel industrial.",metro quadrado,73.67,22.0,1620.74,2026-08-10,concluído
132,310,Divisória Drywall,,"Divisória Drywall - sala de estar, conforme orçamento aprovado.",metro quadrado,4.6,133.64,614.74,2024-10-02,concluído
133,41,Gesso Liso,Parede de Tijolo,"Serviço de gesso liso solicitado para área externa, imóvel residencial.",metro quadrado,15.51,,,2026-02-07,concluído
134,343,gesso liso,Parede Pintada,"Serviço de gesso liso solicitado para corredor, imóvel residencial.",metro quadrado,10.32,20.42,210.73,2024-02-24,Concluido
135,181,Forro Drywall,,"Forro Drywall - área externa, conforme orçamento aprovado.",metro quadrado,81.81,95.0,7771.95,2024-02-06,concluído
136,27,Divisória Drywall,,"Divisória Drywall - fachada comercial, conforme orçamento aprovado.",metro quadrado,57.16,111.39,6367.05,2025-05-11,concluído
137,8,Moldura de Gesso,20cm,"Moldura de Gesso - escritório, conforme orçamento aprovado.",metro linear,30.43,20.69,629.6,2025-11-05,concluído
138,44,Forro Drywall,,Execução de forro drywall em corredor.,metro quadrado,82.35,100.64,8287.7,2026-02-09,CONCLUÍDO
139,177,Moldura de Gesso,7cm,"Moldura de Gesso - sala comercial, conforme orçamento aprovado.",metro linear,5.01,10.36,51.9,2025-04-20,concluído
140,75,Forro Drywall,,"Forro Drywall - sala de estar, conforme orçamento aprovado.",metro quadrado,46.97,95.0,4462.15,2026-03-27,concluído
141,222,Boiserie,,"Boiserie - recepção da loja, conforme orçamento aprovado.",metro linear,25.59,150.0,3838.5,2024-10-03,concluído
142,302,moldura de gesso,7cm,Execução de moldura de gesso em quarto principal.,m linear,31.51,12.0,378.12,2024-07-03,concluído
143,180,Gesso Liso,Parede Pintada,"Gesso Liso - escritório, conforme orçamento aprovado.",metro quadrado,21.77,22.0,478.94,2024-01-25,concluído
144,45,Boiserie,,"Serviço de boiserie solicitado para quarto principal, imóvel residencial.",metro linear,34.69,150.0,5203.5,2026-07-10,concluído
145,39,Gesso Liso,Parede Pintada,Execução de gesso liso em fachada comercial.,metro quadrado,55.74,22.0,1226.28,2025-03-13,concluído
146,199,Sanca,,Execução de sanca em escritório.,metro linear,15.31,,,2024-09-28,concluído
147,277,Sanca,,"Serviço de sanca solicitado para quarto principal, imóvel residencial.",metro linear,31.44,95.0,2986.8,2026-07-23,concluído
148,255,Sanca,,"Sanca - recepção da loja, conforme orçamento aprovado.",metro linear,8.51,,,2025-11-11,concluído
149,245,Moldura de Gesso,10cm,"Moldura de Gesso - corredor, conforme orçamento aprovado.",metro linear,19.13,15.7,300.34,2025-07-07,concluído
150,156,Forro Drywall,,"Serviço de forro drywall solicitado para corredor, imóvel industrial.",metro quadrado,36.45,,,2024-04-02,concluído
151,21,Divisória Drywall,,"Serviço de divisória drywall solicitado para quarto principal, imóvel industrial.",metro quadrado,82.37,130.0,10708.1,2025-02-03,Concluido
152,99,Sanca,,"Serviço de sanca solicitado para sala comercial, imóvel industrial.",metro linear,3.94,95.0,374.3,2025-02-02,concluído
153,174,Sanca,,"Sanca - sala comercial, conforme orçamento aprovado.",metro linear,5.07,95.0,481.65,2024-05-01,concluído
154,73,Sanca,,Execução de sanca em sala de estar.,metro linear,21.09,95.44,2012.83,2024-09-05,concluído
155,303,Divisória Drywall,,"Divisória Drywall - recepção da loja, conforme orçamento aprovado.",metro quadrado,9.18,130.0,1193.4,2025-09-01,concluído
156,295,Forro Drywall,,"Serviço de forro drywall solicitado para quarto principal, imóvel residencial.",metro quadrado,48.22,,,2024-08-06,concluído
157,85,Forro Drywall,,"Serviço de forro drywall solicitado para cozinha, imóvel residencial.",metro quadrado,39.53,95.0,3755.35,2024-04-12,concluído
158,46,Sanca,,"Serviço de sanca solicitado para escritório, imóvel residencial.",metro linear,29.15,95.0,2769.25,2025-12-11,concluído
159,90,Forro Drywall,,Execução de forro drywall em fachada comercial.,metro quadrado,53.45,95.0,5077.75,2025-05-26,concluído
160,272,Divisória Drywall,,Execução de divisória drywall em fachada comercial.,metro quadrado,83.12,142.57,11850.42,2025-06-03,concluído
161,243,Gesso Liso,Parede Pintada,"Serviço de gesso liso solicitado para galpão industrial, imóvel residencial.",metro quadrado,44.3,,,2024-02-25,concluído
162,276,Moldura de Gesso,7cm,Execução de moldura de gesso em área externa.,metro linear,9.51,12.0,114.12,2024-04-28,concluído
163,118,Moldura de Gesso,20cm,"Serviço de moldura de gesso solicitado para quarto principal, imóvel residencial.",metro linear,31.82,20.0,636.4,2026-01-25,concluído
164,111,Forro Drywall,,Execução de forro drywall em fachada comercial.,metro quadrado,79.16,95.0,7520.2,2024-05-19,concluído
165,144,Gesso Liso,Parede de Tijolo,"Gesso Liso - cozinha, conforme orçamento aprovado.",metro quadrado,15.06,30.0,451.8,2024-06-24,concluído
166,296,Gesso 3D,,"Serviço de gesso 3d solicitado para corredor, imóvel industrial.",metro quadrado,82.58,180.0,14864.4,27/05/2026,concluído
167,127,Forro Drywall,,Execução de forro drywall em sala de estar.,metro quadrado,24.07,95.0,2286.65,2026-08-07,concluído
168,259,Forro Drywall,,Execução de forro drywall em quarto principal.,metro quadrado,6.72,95.0,638.4,2026-03-28,concluído
169,112,Forro Drywall,,"Forro Drywall - corredor, conforme orçamento aprovado.",metro quadrado,14.75,95.0,1401.25,2024-04-02,concluído
170,238,Boiserie,,Execução de boiserie em sala de estar.,metro linear,31.56,150.0,4734.0,2026-03-19,Concluido
171,272,Gesso Liso,Parede Pintada,"Serviço de gesso liso solicitado para quarto principal, imóvel residencial.",metro quadrado,6.65,22.0,146.3,2026-08-26,concluído
172,187,Sanca,,Execução de sanca em quarto principal.,metro linear,35.86,95.0,3406.7,2025-09-25,concluído
173,277,Forro Drywall,,"Serviço de forro drywall solicitado para escritório, imóvel residencial.",metro quadrado,13.2,,,2025-08-17,Concluido
174,28,Forro Drywall,,"Serviço de forro drywall solicitado para sala comercial, imóvel industrial.",metro quadrado,9.13,95.0,867.35,2025-06-23,concluído
175,34,Moldura de Gesso,10cm,Execução de moldura de gesso em quarto principal.,metro linear,9.97,15.0,149.55,2025-02-04,Concluido
176,105,Gesso Liso,Parede Rebocada,"Gesso Liso - galpão industrial, conforme orçamento aprovado.",metro quadrado,46.18,20.0,923.6,2026-09-19,concluído
177,33,Divisória Drywall,,"Divisória Drywall - galpão industrial, conforme orçamento aprovado.",metro quadrado,5.78,127.39,736.31,2024-12-09,concluído
178,228,Moldura de Gesso,15cm,"Serviço de moldura de gesso solicitado para sala de estar, imóvel residencial.",metro linear,19.95,15.75,314.21,2026-03-19,concluído
179,83,Divisória Drywall,,Execução de divisória drywall em cozinha.,metro quadrado,61.66,,,2026-05-09,concluído
180,226,Gesso Liso,Parede de Tijolo,Execução de gesso liso em corredor.,metro quadrado,25.09,30.0,752.7,2024-02-05,concluído
181,13,Sanca,,"Serviço de sanca solicitado para sala comercial, imóvel industrial.",metro linear,17.97,95.0,1707.15,2025-04-14,Concluido
182,149,Forro Drywall,,Execução de forro drywall em corredor.,metro quadrado,82.54,,,2025-11-13,concluído
183,72,Moldura de Gesso,20cm,Execução de moldura de gesso em sala de estar.,metro linear,28.09,20.0,561.8,2025-09-24,concluído
184,143,Divisória Drywall,,"Divisória Drywall - corredor, conforme orçamento aprovado.",metro quadrado,19.85,132.5,2630.12,2026-09-07,em andamento
185,342,Sanca,,Execução de sanca em corredor.,metro linear,16.36,89.53,1464.71,2025-01-16,concluído
186,213,Moldura de Gesso,20cm,Execução de moldura de gesso em área externa.,metro linear,32.74,21.85,715.37,2025-03-10,concluído
187,269,Boiserie,,"Boiserie - fachada comercial, conforme orçamento aprovado.",m linear,39.51,,,2026-02-13,concluído
188,71,Gesso Liso,Parede de Tijolo,"Gesso Liso - fachada comercial, conforme orçamento aprovado.",metro quadrado,20.14,30.0,604.2,2025-05-17,concluído
189,2,Sanca,,"Sanca - recepção da loja, conforme orçamento aprovado.",metro linear,8.7,95.0,826.5,2025-10-13,concluído
190,142,Sanca,,Execução de sanca em corredor.,metro linear,21.24,95.0,2017.8,2025-01-05,concluído
191,9,Moldura de Gesso,7cm,"Serviço de moldura de gesso solicitado para sala de estar, imóvel residencial.",metro linear,34.28,12.0,411.36,2024-11-23,concluído
192,25,Boiserie,,"Boiserie - área externa, conforme orçamento aprovado.",metro linear,13.72,,,2025-06-10,concluído
193,155,forro drywall,,"Serviço de forro drywall solicitado para sala comercial, imóvel residencial.",metro quadrado,25.99,95.0,2469.05,2025-07-01,concluído
194,84,Gesso 3D,,"Gesso 3D - sala comercial, conforme orçamento aprovado.",metro quadrado,12.3,180.0,2214.0,2024-07-11,concluído
195,59,Moldura de Gesso,10cm,"Serviço de moldura de gesso solicitado para galpão industrial, imóvel residencial.",metro linear,18.44,15.0,276.6,2024-05-14,Concluido
196,176,Gesso Liso,Parede de Tijolo,Execução de gesso liso em cozinha.,metro quadrado,17.95,26.39,473.7,2024-05-11,Concluido
197,58,Moldura de Gesso,10cm,"Serviço de moldura de gesso solicitado para corredor, imóvel residencial.",metro linear,5.88,12.91,75.91,2024-04-20,concluído
198,6,Forro Drywall,,"Forro Drywall - sala de estar, conforme orçamento aprovado.",metro quadrado,65.12,,,2024-07-29,concluído
199,179,Gesso 3D,,"Gesso 3D - sala de estar, conforme orçamento aprovado.",metro quadrado,32.53,180.58,5874.27,2025-06-01,concluído
200,276,Divisória Drywall,,"Divisória Drywall - área externa, conforme orçamento aprovado.",metro quadrado,4.35,,,2026-07-31,concluído
201,182,Divisória Drywall,,"Serviço de divisória drywall solicitado para quarto principal, imóvel residencial.",metro quadrado,83.49,130.0,10853.7,2025-02-21,concluído
